,in,out1,out2
20,1902SpringR,RUM3144:SWE3141:WAR2988:SEV2784:MOS1926:STP(NorthCoast)1580:GAL1387:UKR1372:STP1062:GOB770:BLA616:STP(SouthCoast)327:NWY303:FIN265:BUD214:VIE187:SIL179:LIV136:PRU109:ARM108:BAL69:BUL(EastCoast)48:BER45:BOH32:MUN30:ANK28:CON17:BUL1,WAR13124:SEV12310:SWE11794:RUM11249:MOS8155:UKR8092:GOB5931:GAL5673:STP5426:STP(NorthCoast)4615:BLA2402:STP(SouthCoast)2162:FIN1246:LIV1226:SIL1028:NWY1006:PRU856:VIE735:BUD620:ARM467:BAL415:BER182:BUL(EastCoast)134:MUN134:BOH111:ANK77:CON36:BUL3
21,1902FallE,NTH2589:NWY1497:ENC1292:NWG834:BEL807:LON761:SKA665:SWE515:YOR496:BAR367:DEN357:HOL339:IRS321:EDI313:WAL248:HEL209:STP197:STP(NorthCoast)170:PIC165:BRE124:MAO96:FIN76:LVP72:NAO63:KIE61:RUH15:BUR13:PAR13:CLY12:GAS9:POR7:BAL3:SPA(NorthCoast)1:NAF1:WMS1,NTH16130:NWY9451:LON7628:ENC7440:NWG5522:YOR4872:BEL3438:EDI3221:SKA3081:BAR2339:WAL2318:SWE1963:IRS1690:DEN1547:LVP1400:HOL1169:STP(NorthCoast)927:HEL837:STP823:PIC813:FIN755:BRE754:MAO608:NAO432:CLY162:KIE153:RUH59:POR56:BUR51:GAS37:SPA(SouthCoast)28:PAR28:BAL21:WMS12:SPA(NorthCoast)8:NAF7:GOB2:LIV2:TYS1
22,1902FallF,MAO2218:BUR1901:PIC1446:MAR1372:BEL1282:SPA1219:GAS966:ENC962:GOL869:SPA(SouthCoast)830:BRE758:PAR598:POR581:RUH222:WMS180:PIA163:HOL140:IRS110:MUN70:WAL62:LON42:SPA(NorthCoast)34:NAO29:NTH20:TYR17:BER15:SIL14:KIE12:NAF12:VEN12:TUN10:LVP10:TUS6:TYS4:ROM2:EDI2:BOH2:DEN2:NWG1:NWY1:YOR1:TRI1:APU1,MAO11842:MAR9517:BUR9300:PIC8568:SPA8203:BRE6146:PAR6127:BEL5738:POR5447:GAS5379:GOL4297:ENC4002:SPA(SouthCoast)3938:PIA1225:WMS972:RUH874:IRS510:HOL446:SPA(NorthCoast)393:MUN391:WAL218:NAO205:LON163:TYR114:NAF103:TUS90:TUN79:SIL62:BER58:NTH53:VEN51:LVP43:KIE41:BOH36:TYS26:YOR10:NWG7:ROM6:CLY5:APU3:TRI2:DEN2:EDI2:GAL1:NWY1
23,1902FallI,IOS1497:VEN1200:TUN702:TYS698:TYR655:TRI570:APU406:PIA315:NAP285:VIE281:GRE250:WMS244:ALB206:EMS180:ROM136:AES109:MAR100:TUS100:BUD76:SER69:NAF65:ADS58:BOH38:MUN36:GAS19:GOL15:BUL9:BUR6:SPA5:BUL(SouthCoast)3:SIL3:BER3:GAL2:RUH1:CON1:KIE1:SYR1,VEN12598:IOS12139:TUN7914:TYS7041:PIA4463:TYR4337:APU4275:NAP3343:ROM3037:WMS2991:TRI2859:TUS2245:GRE1739:EMS1200:NAF1053:VIE1000:ALB911:MAR832:ADS648:AES615:BOH419:GOL363:MUN308:SER237:BUD203:GAS112:SPA75:BUR38:BUL28:SIL27:SYR26:GAL24:BER23:BUL(SouthCoast)17:RUH16:MAO12:KIE8:SPA(SouthCoast)5:CON3:SMY2
24,1902FallG,DEN2329:HOL2179:MUN1737:BEL1502:KIE1390:RUH1347:BAL1117:SIL811:BUR781:SWE620:PRU582:BER574:HEL532:NTH239:TYR185:SKA178:BOH119:PIC118:NWY69:WAR61:LIV52:GAS33:PAR31:VIE28:MAR23:VEN15:MOS15:FIN13:GOB11:GAL10:YOR9:ENC7:EDI4:SPA4:PIA4:TRI4:STP3:LON3:ROM2:TUS2:NWG2:BUD1:RUM1:APU1:UKR1,DEN12973:HOL12217:MUN11693:KIE8877:RUH7734:BEL7081:BER5339:BAL4550:SIL3718:HEL3113:BUR2678:SWE2529:PRU2439:BOH1140:TYR1138:SKA766:NTH739:PIC506:WAR303:VIE268:LIV214:GAS192:PAR148:NWY139:MAR126:GOB93:GAL92:MOS72:FIN62:VEN54:ENC49:PIA39:YOR33:STP28:TRI18:BRE17:UKR16:SPA15:LON11:EDI11:NWG8:BUD6:TUS5:ROM4:STP(SouthCoast)2:WAL2:APU2:RUM1:NAF1:MAO1:ALB1
25,1902FallA,SER2166:GRE1757:BUD1718:TRI1507:GAL1053:VIE1024:RUM876:ALB698:BUL641:TYR458:ADS426:AES251:VEN208:IOS187:BOH156:UKR80:APU63:BUL(SouthCoast)62:WAR30:SIL29:ROM26:SEV24:MUN18:MOS9:EMS8:TYS5:LIV5:NAP4:TUN4:PIA4:CON2:KIE1:TUS1:BUR1:ARM1,SER11864:BUD10872:TRI10799:VIE8047:GRE7877:ALB6194:GAL4880:ADS3630:RUM3546:TYR2739:BUL1717:BOH1422:VEN1293:IOS1227:AES783:UKR405:APU365:BUL(SouthCoast)281:WAR210:SIL151:MUN136:SEV97:ROM70:PIA63:TUN55:NAP42:EMS37:LIV31:MOS29:TYS20:TUS14:BER10:CON6:PRU6:ARM4:KIE4:BUR3:RUH3:MAR1
26,1902FallT,BUL3291:BLA2713:AES2458:CON2369:GRE1611:ARM1166:RUM1030:SER910:EMS777:ANK743:SMY600:SEV576:BUL(SouthCoast)110:ALB91:MOS60:BUL(EastCoast)59:UKR52:IOS30:GAL26:BUD11:SYR6:TRI5,BUL12517:CON12227:BLA9661:AES9456:ANK5869:GRE4969:ARM4945:SMY4903:RUM2933:SER2580:EMS2493:SEV1923:BUL(SouthCoast)368:ALB298:BUL(EastCoast)243:UKR207:IOS141:MOS117:SYR83:GAL82:BUD29:TRI13:WAR1
27,1902FallR,RUM2884:SWE2728:SEV2355:GAL1938:NWY1624:UKR1472:WAR1351:BLA1332:STP801:BUD592:MOS523:GOB523:SIL515:STP(NorthCoast)478:FIN451:BAL342:ARM341:LIV326:PRU286:VIE286:DEN195:BAR184:BUL154:BOH127:BER118:SKA110:STP(SouthCoast)99:SER61:BUL(EastCoast)60:ANK48:CON29:MUN12:KIE11:SMY9:TYR6:TRI6:SYR5:AES4:BUL(SouthCoast)1:PIC1,SEV11061:SWE10912:RUM10249:WAR8919:UKR8187:GAL6882:GOB5698:NWY5085:BLA4157:MOS4000:STP3880:FIN2197:SIL2147:BAL2145:LIV2084:STP(NorthCoast)1692:PRU1531:BUD1489:STP(SouthCoast)1344:ARM1222:VIE942:BOH550:BAR546:SKA531:DEN511:BER329:BUL289:BUL(EastCoast)178:SER155:ANK125:CON114:MUN93:KIE57:TYR48:TRI35:NWG34:SYR28:SMY25:AES13:NTH6:RUH2:HEL2:BUL(SouthCoast)1:IOS1:BUR1:GRE1:PIC1:ALB1
28,1903SpringE,LON2199:NTH2110:NWY1514:EDI1484:ENC979:BEL841:SWE831:LVP803:DEN691:HOL524:SKA484:NWG451:STP(NorthCoast)410:BAR396:BRE363:MAO339:YOR329:STP294:HEL205:WAL195:IRS180:KIE163:PIC147:FIN127:NAO73:MOS43:PAR43:POR38:RUH25:BER20:SPA(SouthCoast)17:BAL15:GAS10:SPA(NorthCoast)9:BUR6:CLY6:WMS5:MAR4:NAF3:SPA2:MUN2:GOB1:LIV1,NTH13137:LON12187:NWY8591:EDI7550:ENC6538:LVP4605:NWG3965:YOR3454:SWE3272:BEL3212:DEN2874:SKA2672:BAR2278:WAL2233:HOL1906:STP(NorthCoast)1892:MAO1575:BRE1422:STP1312:IRS1006:HEL859:PIC759:FIN633:NAO473:KIE431:POR148:PAR138:MOS133:CLY126:BAL68:RUH66:BUR44:GAS44:NAF43:BER41:SPA(NorthCoast)40:SPA(SouthCoast)35:WMS21:GOL16:LIV14:GOB9:MAR9:MUN6:SPA4:TUN4:TYS1
29,1903SpringF,MAR1898:BUR1645:BRE1643:BEL1618:PAR1362:ENC1107:MAO1094:PIC1084:SPA750:POR737:WMS712:GOL599:GAS520:SPA(SouthCoast)416:IRS385:RUH375:PIA367:MUN332:HOL242:TYS231:WAL215:LON174:NAF169:NAO161:TUS131:LVP123:TUN71:SPA(NorthCoast)49:BER44:KIE41:NTH40:VEN28:TYR24:EDI8:SIL8:ROM8:TRI2:NWG2:CLY2:NWY1:SWE1:YOR1:BOH1:NAP1:DEN1:WAR1,MAR11814:BRE9673:PAR9000:BUR8976:PIC6896:BEL6460:MAO6213:POR5624:SPA5527:ENC4637:GAS3955:WMS3090:GOL2726:SPA(SouthCoast)2456:PIA1861:IRS1630:RUH1479:MUN1058:TYS969:NAO782:WAL742:NAF670:HOL613:LON531:SPA(NorthCoast)488:TUS485:LVP413:TUN304:TYR204:BER138:KIE121:NTH120:VEN103:SIL43:ROM29:YOR20:EDI18:CLY13:BOH13:NWG11:WAR8:TRI5:NAP4:VIE4:HEL3:SKA2:PRU2:BAR1:IOS1:SWE1:APU1:DEN1:GAL1:NWY1:SMY1
30,1903SpringI,VEN1608:IOS1130:NAP1078:ROM783:TRI771:TUN769:TYR443:GRE430:VIE393:PIA314:TYS270:WMS237:ADS222:ALB222:BUD218:GOL215:EMS194:AES187:APU185:MAR165:SER164:SPA(SouthCoast)75:TUS70:MUN69:SYR69:SPA52:SMY39:NAF31:BOH24:MAO21:BUL19:GAS15:BUL(SouthCoast)8:CON8:BUR6:BER6:SIL3:GAL2:KIE2:PAR2:POR2:BEL1:RUM1:WAR1,VEN13079:IOS8589:TUN8156:NAP7749:ROM6369:PIA4664:TYS3861:TYR3842:TRI3805:APU2580:WMS2366:GOL2308:GRE2133:ADS1868:TUS1857:VIE1534:EMS1524:MAR1124:ALB1118:AES850:NAF730:SPA(SouthCoast)541:SER476:MUN434:BUD414:SYR335:BOH325:MAO308:SPA222:SMY205:BUL95:GAS69:BER43:SIL40:CON35:BUL(SouthCoast)35:BUR33:KIE21:GAL20:POR14:PAR10:RUH9:BRE6:WAR5:RUM4:BEL2:PRU1:DEN1
31,1903SpringG,MUN2512:KIE2247:DEN2195:BER2050:HOL1987:BEL1609:SWE1234:RUH1045:BUR784:BAL739:SIL617:NTH555:WAR480:PRU405:HEL313:PAR262:PIC173:TYR161:BOH160:NWY143:LIV122:SKA119:EDI103:GAS96:MAR77:GOB44:VIE43:MOS40:ENC40:VEN28:GAL25:STP(NorthCoast)23:BRE22:LON20:FIN19:STP16:TRI13:YOR9:PIA9:STP(SouthCoast)8:SPA8:NWG6:WAL5:ROM4:TUS3:LVP3:NAP2:UKR2:BUD2:SEV1:POR1:APU1:SER1:IRS1,MUN13633:KIE11988:DEN11273:HOL10563:BER9608:BEL6610:RUH6236:SWE4064:BAL3226:SIL3115:BUR2921:NTH2102:HEL2089:PRU1927:WAR1366:TYR1257:BOH1175:PAR712:PIC669:SKA523:LIV499:NWY415:VIE381:MAR263:GAS254:GOB214:EDI212:GAL141:VEN126:ENC120:MOS105:BRE99:TRI75:LON60:FIN59:STP59:PIA43:YOR30:STP(NorthCoast)30:STP(SouthCoast)29:SPA27:NWG18:BUD14:LVP12:WAL12:ROM8:TUS7:UKR6:IRS3:NAP2:POR2:SER2:RUM2:SEV2:APU2:BAR1:GRE1
32,1903SpringA,BUD2351:VIE2122:TRI2117:SER1875:GRE1527:RUM1099:GAL925:BUL893:VEN463:TYR433:IOS431:AES391:ALB358:ADS286:WAR204:UKR180:BOH166:BUL(SouthCoast)116:ROM73:CON71:MUN68:SIL65:APU57:NAP51:SEV47:SMY29:MOS25:TUN25:EMS16:PIA13:TYS10:TUS5:LIV4:BER4:ARM3:KIE2:ANK2:STP2:PRU2:BUR1:RUH1,TRI11889:BUD11540:VIE10877:SER9809:GRE6245:RUM3812:GAL3677:ALB2651:BUL2284:TYR2249:VEN2231:ADS2027:IOS1474:BOH1046:AES939:WAR656:UKR593:BUL(SouthCoast)382:MUN306:NAP276:SIL263:APU216:ROM159:SEV155:TUN135:CON128:MOS121:SMY87:PIA71:EMS57:TYS54:TUS26:BER16:LIV9:MAR7:KIE7:STP6:PRU5:ARM4:BUR3:ANK2:RUH2:GOL1:WMS1:NAF1:SYR1
33,1903SpringT,CON3617:BUL2791:SMY2786:BLA2529:GRE2272:ANK1841:AES1789:SER1479:RUM1381:SEV1374:IOS838:ARM657:EMS324:ALB202:BUL(SouthCoast)189:MOS164:BUL(EastCoast)137:BUD135:UKR94:TRI40:GAL21:SYR12:NAP8:TUN7:APU5:STP4:LIV3:VIE3:WAR3:BOH1:VEN1:TYS1,CON15118:SMY11051:BUL10627:BLA9226:ANK7868:AES7549:GRE6787:SER3865:SEV3816:RUM3480:ARM3081:IOS2250:EMS1474:BUL(SouthCoast)681:ALB539:BUL(EastCoast)409:MOS387:UKR291:BUD220:SYR102:TRI97:GAL77:NAP40:TUN16:WAR13:APU11:TYS8:STP8:VIE6:LIV4:BOH3:VEN2:SIL2
34,1903SpringR,RUM2788:SEV2662:WAR2624:SWE2559:NWY1991:MOS1639:GAL1396:STP(NorthCoast)1221:BLA1191:BUD1109:UKR1032:STP995:SIL605:VIE538:BAL464:FIN463:ARM401:STP(SouthCoast)388:PRU313:GOB310:DEN303:BER302:ANK279:BUL255:LIV227:BOH175:BAR164:SER154:CON147:SKA143:NWG132:BUL(EastCoast)92:KIE66:MUN65:SMY45:NTH31:TRI29:SYR20:TYR11:GRE7:AES6:ALB2:BUL(SouthCoast)2:RUH1:HOL1,WAR10564:SEV10012:RUM9185:SWE8727:MOS7438:UKR6218:GAL5796:NWY5699:STP4285:BLA3701:STP(NorthCoast)3037:GOB3018:BUD2808:SIL1992:STP(SouthCoast)1938:BAL1882:FIN1875:PRU1569:LIV1535:VIE1467:ARM1310:BER1003:DEN765:BOH670:ANK610:SKA505:BUL437:BAR435:SER351:CON279:NWG277:BUL(EastCoast)230:KIE204:MUN198:SMY94:TRI77:NTH75:SYR48:TYR46:ALB22:AES21:GRE9:HOL5:BUL(SouthCoast)5:RUH4:VEN4:HEL1:EMS1:YOR1:MAR1
35,1903FallE,NTH2393:NWY1585:ENC1278:LON849:SWE838:DEN752:BEL705:NWG659:HOL571:MAO530:SKA514:IRS437:YOR434:BAR420:HEL382:STP(NorthCoast)371:EDI346:KIE327:FIN308:STP298:BRE298:PIC292:WAL276:LVP133:NAO119:MOS118:BAL109:POR99:RUH74:PAR61:CLY49:GAS49:GOB40:BER37:BUR33:LIV33:SPA(SouthCoast)20:WMS20:SPA(NorthCoast)15:NAF11:SPA7:MUN5:MAR4:PRU2:SIL1:UKR1:SEV1:TUN1:PIA1:WAR1,NTH13297:NWY8146:LON8036:ENC7370:NWG4880:YOR4064:EDI3668:SWE3643:DEN3096:SKA3051:BEL2761:WAL2719:BAR2647:LVP2350:IRS2213:MAO2168:HOL2080:STP(NorthCoast)1976:HEL1658:BRE1564:FIN1562:STP1442:PIC1200:KIE949:NAO925:CLY513:BAL394:POR383:MOS361:PAR264:GAS235:RUH220:LIV186:GOB175:WMS141:BUR131:SPA(SouthCoast)120:BER92:SPA(NorthCoast)74:NAF56:TUN24:GOL21:MUN18:MAR16:SPA15:WAR14:PRU8:TYS5:STP(SouthCoast)5:UKR4:SEV4:PIA2:SIL1:GAL1:IOS1
36,1903FallF,BUR1811:BEL1583:ENC1291:MAO1289:PIC1165:MAR1082:GOL779:WMS728:SPA677:BRE668:RUH661:PAR556:GAS540:IRS507:PIA453:MUN450:WAL388:SPA(SouthCoast)388:TYS344:TUN343:LVP317:HOL290:NAO235:LON223:TUS187:NAF168:POR166:NTH96:KIE94:TYR93:YOR87:VEN55:CLY52:BER49:ROM47:NAP43:SIL32:IOS23:EDI21:HEL19:NWG18:SPA(NorthCoast)16:BOH14:NWY7:APU4:DEN4:VIE2:TRI2:STP(NorthCoast)1:BAL1:WAR1:PRU1:MOS1,BUR9180:MAR8483:PIC7686:MAO7343:BRE6412:BEL6392:PAR5822:SPA5318:GAS5179:ENC5082:GOL3669:POR3197:WMS3151:SPA(SouthCoast)2459:PIA2324:RUH2282:IRS2159:MUN1411:WAL1381:TUN1326:TYS1307:LVP1113:HOL956:NAO953:TUS839:NAF822:LON777:TYR397:SPA(NorthCoast)346:KIE310:CLY265:NTH244:ROM236:YOR197:VEN189:BER144:BOH129:NAP108:IOS104:SIL100:NWG88:EDI62:HEL28:PRU24:DEN12:APU9:VIE8:NWY8:TRI7:BAR5:GAL3:MOS3:WAR2:BAL1:SKA1:UKR1:BUD1:STP(NorthCoast)1:SMY1
37,1903FallI,IOS1267:VEN957:TRI857:TYS690:TYR554:GRE497:VIE414:TUN403:PIA364:ALB357:AES297:NAP286:ADS278:WMS275:EMS259:BUD255:SER250:APU233:MAR214:GOL193:TUS180:ROM176:SPA(SouthCoast)107:MUN84:SMY84:MAO76:BOH74:SPA59:BUL59:POR57:SYR48:NAF33:BUR32:GAS31:ARM28:CON24:GAL22:BUL(SouthCoast)15:BER8:SIL8:RUH6:KIE6:ANK6:RUM6:PAR4:IRS2:BRE1:WAR1:PRU1:NAO1,VEN10641:IOS8902:TYS6098:TUN6060:PIA5161:TRI4339:TYR4079:NAP4046:ROM3925:APU3063:WMS2905:GOL2606:TUS2457:ADS2366:GRE2109:MAR1875:ALB1819:EMS1758:VIE1703:AES1238:NAF1047:SPA(SouthCoast)737:SER687:BUD638:BOH545:SMY503:MAO500:SPA476:MUN475:SYR387:POR282:GAS162:BUL154:GAL131:SIL94:CON94:BUR81:ARM77:BUL(SouthCoast)67:BER60:RUH49:BRE39:ANK37:KIE36:NAO34:IRS26:PAR19:RUM16:WAR11:SPA(NorthCoast)10:PRU6:ENC2:HOL2:DEN1:MOS1:SEV1:LIV1
38,1903FallG,DEN1899:MUN1792:HOL1600:BEL1453:SWE1161:RUH1136:SIL1036:KIE960:BAL950:BUR925:NTH740:PRU734:BER643:WAR468:PIC433:HEL400:LIV352:TYR329:PAR329:BOH323:SKA280:NWY277:GAS222:GOB200:FIN184:MOS163:MAR128:YOR118:GAL90:EDI90:BRE83:ENC66:VIE64:NWG39:STP34:LON30:UKR25:VEN21:SPA18:PIA16:BUD13:TRI13:LVP13:STP(NorthCoast)13:ROM11:STP(SouthCoast)9:WAL7:CLY6:BAR4:NAP4:MAO3:SEV2:POR2:TUS2:APU2:IRS1:RUM1:ALB1:SER1,MUN11227:DEN9906:HOL9393:KIE7851:RUH7061:BEL6138:BER5547:SIL4534:BAL4209:SWE3787:BUR3654:HEL3150:PRU3079:NTH2534:BOH1868:TYR1748:WAR1557:PIC1285:LIV1228:SKA1145:PAR963:GOB735:NWY664:GAS655:FIN506:VIE500:MOS393:EDI373:GAL372:MAR322:...:ENC267:BRE242:VEN171:LON170:PIA158:NWG132:STP127:UKR104:TRI102:SPA81:STP(SouthCoast)68:BAR61:BUD49:STP(NorthCoast)47:LVP38:ROM28:WAL23:CLY20:TUS20:MAO15:IRS13:APU6:NAP5:NAO5:SEV5:RUM4:SER3:POR3:ALB3:GRE2
39,1903FallA,SER1677:BUD1538:GRE1235:GAL1231:RUM1223:TRI1208:VIE1103:BUL1081:AES735:TYR676:ALB532:VEN469:IOS464:ADS452:UKR449:BOH343:WAR226:CON217:SIL174:NAP152:APU147:ROM136:BUL(SouthCoast)113:SEV101:MUN99:MOS95:EMS89:SMY51:TUS48:PIA45:TYS34:TUN28:ANK11:BER11:LIV11:ARM9:PRU9:WMS6:MAR4:KIE3:NAF3:RUH3:STP2:BUR2:PAR1:HOL1:BLA1:GOL1,BUD8623:TRI8609:SER7997:VIE7584:GRE5289:GAL5106:ALB4492:RUM4069:TYR3656:ADS3515:BUL2702:VEN2378:BOH1893:AES1736:IOS1673:UKR1231:APU863:WAR806:SIL715:ROM474:NAP452:CON435:MUN425:BUL(SouthCoast)354:MOS343:SEV333:EMS252:PIA230:TUN219:TUS161:SMY146:TYS137:LIV61:BER58:PRU41:ARM19:RUH18:BUR17:WMS15:ANK14:STP13:KIE13:SYR12:GOL10:NAF9:MAR9:HOL3:MAO2:BLA2:IRS1:FIN1:BEL1:GAS1:PAR1:SPA1
40,1903FallT,BUL2964:BLA2752:AES2532:GRE2035:CON1787:SER1618:RUM1597:SEV1383:ARM1009:IOS970:EMS945:ALB663:SMY656:ANK614:MOS366:UKR349:BUD302:TRI168:BUL(SouthCoast)136:ADS116:NAP110:TUN109:BUL(EastCoast)93:APU73:GAL71:TYS59:WAR44:STP26:VIE17:LIV7:SYR6:TYR5:VEN3:SIL2:ROM1:BOH1:FIN1,CON10443:BUL10244:BLA9865:AES9386:GRE6559:SMY5584:ARM4771:ANK4714:SER4454:RUM4006:SEV3828:EMS3034:IOS2797:ALB1807:UKR858:MOS772:BUL(SouthCoast)584:BUD502:BUL(EastCoast)417:SYR390:TRI384:TUN295:NAP282:ADS280:GAL192:APU173:TYS148:WAR77:STP63:LIV40:VIE31:ROM22:TYR11:SIL8:VEN7:BOH6:FIN2:PRU1:GOL1:WMS1:MUN1:NAF1
