,in,out1,out2
18,1902SPRA,SER1703:GAL1233:BUD1069:RUM997:BUL983:TRI865:ALB806:GRE795:VIE739:TYR537:ADS418:AES347:IOS259:VEN192:BOH189:UKR171:BUL84:APU79:SEV49:ARM39:SIL36:TUN32:MUN30:ROM28:WAR20:MOS14:CON13:EMS11:BLA11:PIA10:LIV9:NAP8:TYS7:MAR4:ANK3:SMY3:BUL2:BUR2:TUS2:BEL1:KIE1:BAL1:BER1:,SER7006:BUD5894:TRI5767:GAL5132:ALB4706:VIE4654:RUM3992:GRE3953:BUL3323:TYR2709:ADS2384:IOS1312:BOH1203:VEN1101:AES1067:UKR715:BUL405:APU392:SEV211:MUN201:SIL193:TUN151:ARM107:WAR100:PIA97:CON85:ROM79:BLA66:NAP66:EMS47:LIV44:MOS41:KIE24:TYS21:TUS21:BER17:PRU16:BUL15:BUR15:MAR12:SMY11:ANK9:RUH6:BEL1:BAL1:
19,1902SPRT,BUL3236:AES2732:CON1713:ARM1440:RUM1394:SER1222:GRE1090:EMS957:BLA867:ANK706:SEV668:SMY254:ALB135:BUL118:BUD113:UKR102:MOS72:GAL62:BUL60:IOS38:VEN18:TRI13:VIE7:SYR6:TUN6:WAR5:APU4:NAP3:RUMVIACONVOY1:TYR1:,BUL11296:AES10892:CON7169:ARM5144:RUM4183:GRE3770:BLA3687:SER3432:ANK3207:EMS3206:SEV2093:SMY1760:BUL400:UKR397:ALB373:BUD358:BUL275:GAL195:MOS160:IOS147:SYR60:VEN39:TUN37:TRI35:NAP19:BULVIACONVOY19:VIE17:APU14:WAR8:RUMVIACONVOY2:TYR2:ADS1:
20,1902SPRR,RUM2545:GAL2048:NWY1910:UKR1371:SEV1143:BLA1037:SWE873:STP829:STP797:WAR679:BUD639:SIL569:FIN455:ARM436:BUL424:BAL382:LIV347:GOB328:PRU326:SER322:MOS303:DEN268:BAR248:BOH174:SKA161:VIE160:BUL86:BER78:ANK74:CON72:KIE68:TYR54:MUN51:STP47:TRI38:GRE38:NTH36:VEN34:SMY13:YOR13:SYR12:EDI10:LON7:AES6:RUMVIACONVOY3:BUL2:NWG2:WAL1:HOL1:RUH1:BUR1:HEL1:PIC1:,RUM8731:GAL6733:NWY5903:UKR5862:SEV5224:SWE3995:WAR3584:STP3152:BLA3024:SIL2185:FIN2122:STP2108:BAL2015:LIV1894:BUD1863:GOB1863:MOS1832:ARM1556:PRU1485:BUL1237:SER875:BOH791:BAR735:DEN697:SKA617:STP558:VIE489:BER266:CON242:KIE241:BUL220:TYR186:ANK173:NTH163:TRI135:GRE117:MUN95:YOR68:VEN61:SYR50:SMY31:EDI23:RUMVIACONVOY18:AES12:LON12:RUH7:BUR6:NWG4:BUL3:HEL3:PIA2:HOL2:PIC1:ALB1:ADS1:WAL1:
21,1902FALE,NWY1258:LON1187:NTH960:EDI867:DEN839:LON734:BEL635:EDI618:SWE617:HOL591:LVP502:YOR501:LON467:SKA398:ENC389:BRE388:MAO344:LVP317:EDI273:STP271:STP262:PIC241:KIE223:NWG222:BAR211:WAL209:HEL145:IRS121:FIN97:NAO90:BUR64:MOS59:RUH52:BAL41:PAR40:MUN33:POR33:BER24:LVP19:GAS15:GOB14:WMS9:SPA9:CLY8:MAR6:SPA4:NAF4:SIL2:PIA1:BELVIACONVOY1:SPA1:SEV1:UKR1:LIV1:PRU1:WAR1:,NWY6572:LON5157:NTH4888:LON4100:EDI4057:YOR3232:DEN3090:SWE2799:ENC2793:LVP2729:BEL2715:LON2467:EDI2233:HOL2159:SKA2042:EDI2000:NWG1856:MAO1756:WAL1652:BRE1570:BAR1440:STP1338:STP1307:LVP1246:PIC1224:IRS903:FIN733:HEL635:KIE598:NAO573:LVP442:BUR250:RUH206:MOS198:PAR195:BAL173:POR168:CLY123:GOB98:GAS75:MUN61:BER56:SPA43:LIV33:WMS29:GOL18:SPA18:MAR16:NAF14:SPA9:TUN7:SEV6:WAR3:SIL3:PIA2:TYS2:UKR2:PRU1:BELVIACONVOY1:
22,1902FALF,BUR1354:BEL1331:BRE1233:PAR1002:PIC835:WMS757:ENC656:MAR647:MAR631:BRE539:MAO514:SPA489:GAS462:IRS422:POR413:MUN408:RUH405:PIA383:MAR328:TYS298:PAR278:SPA257:WAL247:HOL228:GOL202:NAF202:LON188:TUS178:NAO175:BRE138:LVP122:NTH85:TYR75:TUN75:KIE71:VEN33:SPA25:YOR25:BER20:NWY20:DEN19:BOH17:SIL11:HEL11:TRI10:EDI9:ROM7:CLY4:NAP1:PRU1:SWE1:BAR1:VIE1:WAR1:NWG1:,BUR7244:BEL5190:PAR5176:MAR4670:BRE4448:PIC4127:BRE3698:WMS3462:GAS3448:MAO3158:SPA2802:MAR2769:POR2745:PAR2662:ENC2654:IRS1920:PIA1854:MAR1800:RUH1730:SPA1521:MUN1266:TYS1259:GOL1118:NAF933:WAL897:BRE863:NAO818:TUS769:HOL692:LON652:.:KIE209:VEN168:YOR108:BER103:HEL76:BOH69:TRI65:DEN64:SIL62:ROM47:EDI37:CLY36:NWY27:NWG16:WAR9:VIE8:ADS7:PRU5:IOS4:BAL4:NAP4:APU3:SKA3:BAR3:GAL2:PICVIACONVOY1:SMY1:BUD1:SWE1:BELVIACONVOY1:
23,1902FALI,NAP1032:TUN951:TRI808:VEN702:VEN436:IOS430:GRE429:ROM387:ROM363:TYR336:VIE320:ALB298:AES246:GOL234:APU233:BUD208:ADS204:SER184:PIA173:MAR165:TYS157:WMS156:EMS99:MUN98:NAP97:SYR94:SPA94:BUL71:TUS67:NAP67:SPA64:SMY59:VEN47:ROM47:BOH33:MAO31:GAL28:CON26:BUR25:NAF25:RUM21:SIL12:GAS12:BUL10:BER6:PAR6:KIE5:RUH4:SEV3:POR2:UKR1:WAR1:PRU1:BLA1:BEL1:,TUN7163:NAP5978:VEN4579:TRI4066:IOS3159:TYR2930:VEN2877:GOL2790:PIA2238:TYS2216:ROM2193:ROM2054:ADS1944:APU1824:GRE1819:ROM1604:WMS1586:ALB1474:TUS1345:VIE1232:NAP1129:EMS1016:AES985:MAR967:SPA688:SER648:NAP589:SYR563:MUN498:BUD486:.:GAS117:RUM92:CON84:SIL76:BUL49:BER45:KIE43:RUH23:PAR21:DEN18:POR17:BRE8:WAR6:BLA6:PRU5:BUL5:SEV4:IRS4:ENC3:BAL2:HOL2:UKR2:BEL2:YOR1:PIC1:APUVIACONVOY1:ARM1:SWE1:LON1:HEL1:
24,1902FALG,BER1362:BEL1248:MUN1146:SWE1128:DEN1060:KIE979:HOL962:MUN921:KIE860:BUR806:RUH795:NTH586:BAL579:WAR575:KIE543:SIL531:BER370:PRU298:PAR282:BER274:PIC268:HEL261:NWY255:SKA154:LIV142:BOH138:TYR129:GAS112:EDI107:MAR89:.:ENC54:LON40:MOS35:BRE35:TRI33:FIN30:STP24:STP24:BUD21:WAL16:YOR14:UKR11:STP10:SPA8:NWG8:ADS5:BAR5:ROM4:ALB3:LVP3:SEV3:NAP2:IRS2:CLY2:TUN1:MAO1:SER1:TUS1:APU1:POR1:,BEL5437:MUN5125:BER4954:DEN4524:RUH4494:HOL4281:KIE4148:MUN3934:SWE3665:KIE3449:KIE3355:BUR3225:BER2496:BAL2454:NTH2336:SIL2272:HEL1887:WAR1667:PRU1295:BER1235:BOH1053:TYR991:PIC968:NWY934:PAR843:SKA729:LIV639:VIE475:GAS363:MAR347:.:STP41:STP39:SPA33:NWG33:RUM18:DENVIACONVOY16:ADS16:LVP15:BAR9:SEV9:TUS8:ROM8:ALB7:MAO5:APU5:SER4:WMS4:IRS4:NAP3:GOL3:POR2:GRE2:CLY2:KIEVIACONVOY2:NAF1:TUN1:ARM1:SWEVIACONVOY1:BUL1:NAO1:
25,1902FALA,VIE1510:RUM1393:BUD1291:BUL1224:SER1158:GRE811:BUD792:GAL723:TRI659:TRI641:TRI591:VEN498:IOS471:VIE414:AES367:TYR365:ALB260:WAR251:UKR206:ADS158:BUL132:BOH111:SIL106:CON97:MUN95:NAP82:SEV76:TUN67:ARM64:ROM57:APU50:SMY41:BLA35:MOS29:KIE19:EMS19:PIA17:PRU15:BUL12:BUR11:TYS10:TUS9:BER6:MAR6:RUH5:ANK4:STP3:BAR1:GOL1:LIV1:PAR1:,TRI5168:SER5098:VIE5036:BUD4696:RUM4482:BUD4171:VIE3670:GRE3436:BUL3407:GAL3063:ALB2796:TRI2351:VEN2259:TYR2221:IOS1722:TRI1605:ADS1394:AES1006:BOH958:WAR812:UKR760:SIL494:BUL469:MUN390:NAP388:APU369:TUN351:SEV312:ARM254:CON228:ROM153:MOS150:BLA150:SMY128:PIA121:PRU107:EMS98:TYS73:TUS57:BER52:BUR51:BUL34:KIE27:MAR20:RUH17:LIV16:ANK12:STP10:GOL6:WMS2:SYR2:GAS2:DEN1:PAR1:BAR1:NAF1:BAL1:SPA1:
26,1902FALT,BUL2492:SMY2182:GRE1964:CON1720:RUM1666:SEV1484:SER1328:ANK1218:CON1184:ARM1170:AES1007:IOS973:CON804:SMY464:BLA421:EMS387:ANK323:SMY311:ALB264:BUD255:ANK234:BUL170:MOS154:GAL149:BUL120:UKR119:TRI69:WAR20:TUN20:VEN18:NAP13:TYR10:SYR9:VIE9:APU9:STP5:LIV4:ADS3:TYS2:SIL2:BULVIACONVOY1:BOH1:CONVIACONVOY1:NWY1:,BUL9141:SMY6294:GRE6022:CON5730:RUM4581:CON4256:SEV4073:AES4062:ARM3974:SER3564:ANK3210:IOS2760:SMY2551:CON2366:BLA1928:ANK1844:SMY1782:EMS1338:ALB840:ANK777:BUL679:UKR518:BUD469:MOS396:BUL379:GAL348:TRI198:SYR104:TUN62:WAR55:NAP52:VEN35:VIE35:TYR34:APU27:STP11:TYS10:LIV8:SIL8:ADS7:BULVIACONVOY6:BOH4:NWY1:RUMVIACONVOY1:PRU1:CONVIACONVOY1:
27,1902FALR,RUM2703:WAR1893:NWY1544:MOS1501:GAL1470:BUD1165:STP1049:SWE975:SEV851:SEV782:UKR705:STP546:ARM537:WAR487:VIE463:BUL450:BLA435:SIL391:DEN380:STP371:BER364:BAL355:STP346:SEV342:PRU337:ANK328:SER324:FIN268:STP260:CON240:.:NWG142:BUL130:NTH121:TYR117:KIE99:TRI91:MUN89:HEL66:SMY51:GRE48:VEN36:STP34:BUR28:LON22:SYR20:ALB20:AES15:HOL14:YOR12:BUL10:RUH7:EDI6:IOS3:BEL2:TUN2:EMS2:ENC1:RUMVIACONVOY1:WAL1:PAR1:,RUM8081:WAR4842:GAL4798:MOS4654:NWY4533:SEV4135:SWE3470:UKR3302:WAR3082:BUD2938:STP2173:STP2068:MOS2068:BAL1684:ARM1674:BLA1629:SEV1604:SIL1566:LIV1559:FIN1503:GOB1468:PRU1317:STP1306:BER1276:VIE1232:BUL1082:DEN979:STP856:SER839:SKA805:.:TRI273:MUN271:TYR257:HEL136:GRE115:SMY111:VEN100:BUR62:AES60:SYR57:ALB51:HOL36:YOR34:LON32:BUL25:EDI18:RUH18:IOS7:EMS7:RUMVIACONVOY6:TUN5:BEL5:ENC3:PIA1:PAR1:MAR1:BERVIACONVOY1:APU1:ADS1:WAL1:
28,1903SPRE,NTH1405:NWY1202:LON946:ENC894:EDI653:NWG568:DEN549:SWE548:HOL509:BEL502:YOR491:MAO454:IRS440:SKA423:FIN395:HEL379:PIC348:KIE288:BAR275:WAL263:STP225:BRE192:STP168:BUR160:BAL139:NAO133:MOS104:RUH104:POR100:GOB94:LIV81:LVP73:GAS61:PAR48:CLY47:WMS44:SPA41:BER30:MUN22:SIL21:SPA12:NAF12:MAR11:SPA8:PRU8:WAR6:UKR4:SEV3:TUN3:TYR1:BOH1:GOL1:RUM1:PIA1:STP1:GAL1:,NTH6910:NWY5787:LON5187:ENC4228:EDI3380:NWG3077:YOR2742:SWE2673:DEN2576:SKA2131:IRS2100:BEL2006:WAL1954:MAO1765:FIN1559:HOL1545:BAR1493:HEL1445:PIC1354:BRE1070:KIE1055:STP1006:STP987:LVP981:NAO904:BAL519:CLY466:BUR447:POR392:RUH340:.:LIV303:GOB289:PAR203:WMS187:SPA137:BER136:MUN64:SPA61:NAF41:SEV37:UKR28:MAR28:TUN27:SIL27:WAR27:SPA21:PRU15:GOL7:STP6:TYS5:GAL4:PIA3:ARM2:RUM2:IOS2:TYR2:BOH2:STPVIACONVOY1:FINVIACONVOY1:NWYVIACONVOY1:
29,1903SPRF,BUR1639:BEL1163:MAO987:PIC921:ENC844:RUH716:MAR662:SPA645:GOL638:GAS532:BRE504:PIA497:WMS486:WAL476:IRS378:TUN358:TYS327:MUN323:SPA321:HOL308:LVP308:PAR269:TUS242:NAF214:LON184:NAO184:KIE148:NTH144:TYR139:YOR102:POR99:CLY67:BER62:VEN57:ROM54:NAP51:SIL42:IOS41:DEN35:HEL27:NWG26:EDI25:BOH22:TRI12:SPA9:NWY9:APU8:VIE7:BAL2:SWE2:SER2:PRU2:SKA1:MOS1:GRE1:STP1:WAR1:,BUR7988:MAO5013:PIC4877:BEL4513:MAR4437:GAS4205:SPA4089:BRE3379:ENC2972:PAR2708:GOL2696:RUH2528:WMS2196:PIA2173:SPA1869:WAL1583:IRS1565:POR1474:TUN1392:TYS1218:MUN1181:HOL1065:LVP1013:TUS969:NAF883:LON712:NAO659:TYR514:KIE416:NTH398:.:SIL140:NWG133:NAP127:HEL83:EDI82:DEN82:TRI67:PRU36:APU24:NWY16:VIE15:SKA5:SWE5:GAL4:ADS4:BUD3:MOS3:BAR3:LIV2:SER2:BAL2:NAFVIACONVOY1:GRE1:LVPVIACONVOY1:GASVIACONVOY1:WAR1:EMS1:UKR1:STP1:AES1:
30,1903SPRI,IOS950:TRI888:TYS627:VEN593:TYR590:ALB412:PIA376:GRE343:VIE297:TUN296:SER285:NAP273:APU260:AES257:WMS217:BUD213:ADS209:TUS185:MAR184:EMS175:BUL102:GOL99:SPA88:GAL84:SMY83:MAO79:BOH78:ROM75:SYR70:SPA65:POR63:MUN61:RUM51:BUR45:BUL44:NAF39:GAS37:ARM33:CON30:UKR19:RUH13:BER12:SIL12:KIE9:ANK6:IRS4:BRE4:BLA3:SEV3:NAO3:PAR2:DEN1:PIC1:PRU1:ENC1:BUL1:WAL1:,IOS5592:VEN5393:TYS5041:TRI4390:TUN3382:TYR3381:PIA3346:NAP2333:ALB2208:APU2131:WMS2058:ROM1935:TUS1882:MAR1557:GRE1428:ADS1406:VIE1405:AES1192:GOL1187:NAF934:EMS908:SER862:BUD715:BOH606:SPA584:SMY538:SPA522:SYR465:MAO457:BUL340:.:SIL104:ARM97:BER70:RUH62:BRE46:NAO43:ANK41:KIE39:IRS29:ENC29:UKR20:SEV20:SPA15:PAR14:PRU12:BLA9:WAR9:HOL8:BUL5:PIC5:DEN4:BEL3:BAL2:HEL2:LIV1:MOS1:SPAVIACONVOY1:SWE1:TRIVIACONVOY1:WAL1:
31,1903SPRG,MUN1155:BEL1066:DEN1037:RUH1030:KIE1009:SIL954:BUR952:HOL925:SWE831:PRU766:BAL742:NTH699:BER594:PIC507:HEL459:LIV401:BOH360:NWY324:TYR320:SKA279:WAR267:GAS248:GOB226:FIN209:PAR209:MOS175:YOR131:ENC128:GAL126:EDI122:.:NWG66:PIA54:UKR47:WAL44:SEV25:TRI23:VEN23:SPA23:BUD19:STP17:LVP16:ROM9:STP8:BAR7:CLY7:MAO6:TUS4:APU3:RUM3:IRS3:SER3:POR2:NAP2:GOL2:ALB2:KIEVIACONVOY1:SPA1:WMS1:NAO1:TUN1:,KIE6071:RUH5637:MUN5515:DEN4661:BEL4439:HOL4368:BUR3672:SIL3575:BER3273:BAL2987:SWE2715:PRU2558:HEL2432:NTH2306:PIC1495:TYR1395:BOH1366:LIV1234:SKA1153:WAR954:NWY890:PAR709:GOB700:GAS658:FIN561:GAL465:MOS429:VIE410:ENC399:EDI396:.:SPA87:WAL71:STP54:BAR49:STP48:SEV46:LVP39:MAO28:ROM27:TUS25:IRS19:CLY17:RUM14:SER12:ALB9:APU8:GOL5:WMS4:NAO4:ADS4:POR3:NAP2:BUL2:KIEVIACONVOY2:SPA1:TYS1:DENVIACONVOY1:GRE1:TUN1:SWEVIACONVOY1:
